,timestamp,latitude,longitude,weekday,time_of_day
468,1539379254.0,52.1987861,21.0040643,4,1280
469,1539379254.0,52.1987861,21.0040643,4,1280
470,1539375691.0,52.1987669,21.003992,4,1221
471,1539375674.0,52.1987571,21.0043617,4,1221
472,1539375643.0,52.1987571,21.0043617,4,1220
473,1539375566.0,52.1987528,21.0043106,4,1219
474,1539375352.0,52.1987528,21.0043106,4,1215
475,1539375265.0,52.1987513,21.0043584,4,1214
476,1539375180.0,52.1987513,21.0043584,4,1213
477,1539375028.0,52.1987513,21.0043584,4,1210
478,1539374946.0,52.1987583,21.0043976,4,1209
479,1539374850.0,52.1987583,21.0043976,4,1207
480,1539374773.0,52.1987583,21.0043976,4,1206
481,1539374646.0,52.1987301,21.0044939,4,1204
482,1539374482.0,52.1987301,21.0044939,4,1201
483,1539374400.0,52.1987301,21.0044939,4,1200
484,1539374320.0,52.1987069,21.0045072,4,1198
485,1539374191.0,52.1987069,21.0045072,4,1196
486,1539374019.0,52.1987474,21.0043478,4,1193
487,1539373903.0,52.1987474,21.0043478,4,1191
488,1539373864.0,52.1987509,21.004346,4,1191
489,1539373704.0,52.1987164,21.0044968,4,1188
490,1539373611.0,52.1987164,21.0044968,4,1186
491,1539373494.0,52.1987164,21.0044968,4,1184
492,1539373417.0,52.1987164,21.0044968,4,1183
493,1539373387.0,52.1987103,21.0045101,4,1183
494,1539373314.0,52.1987103,21.0045101,4,1181
495,1539373184.0,52.1987103,21.0045101,4,1179
496,1539373116.0,52.1987146,21.0044892,4,1178
497,1539373031.0,52.1987146,21.0044892,4,1177
498,1539372815.0,52.1987868,21.0044761,4,1173
499,1539372741.0,52.1987868,21.0044761,4,1172
500,1539372627.0,52.1987868,21.0044761,4,1170
501,1539372514.0,52.1987501,21.0042914,4,1168
502,1539372451.0,52.1987501,21.0042914,4,1167
503,1539372275.0,52.1987501,21.0042914,4,1164
504,1539372275.0,52.1987501,21.0042914,4,1164
505,1539372214.0,52.1987036,21.0045307,4,1163
506,1539372132.0,52.1987036,21.0045307,4,1162
507,1539372018.0,52.1987036,21.0045307,4,1160
508,1539372017.0,52.1987036,21.0045307,4,1160
509,1539371905.0,52.1987036,21.0045307,4,1158
510,1539371870.0,52.1987344,21.0045272,4,1157
511,1539371664.0,52.1987344,21.0045272,4,1154
512,1539371583.0,52.1987344,21.0045272,4,1153
513,1539371579.0,52.198722,21.0045344,4,1152
514,1539371579.0,52.198722,21.0045344,4,1152
515,1539368074.0,52.1987118,21.0045503,4,1094
516,1539367949.0,52.1987118,21.0045503,4,1092
517,1539367845.0,52.1987118,21.0045503,4,1090
518,1539367772.0,52.1987223,21.0045398,4,1089
519,1539367647.0,52.1987223,21.0045398,4,1087
520,1539367555.0,52.1987223,21.0045398,4,1085
521,1539367471.0,52.1987219,21.0045348,4,1084
522,1539367386.0,52.1987219,21.0045348,4,1083
523,1539367308.0,52.1987219,21.0045348,4,1081
524,1539367228.0,52.1987219,21.0045348,4,1080
525,1539367166.0,52.1987217,21.0045346,4,1079
526,1539367049.0,52.1987217,21.0045346,4,1077
527,1539366975.0,52.1987217,21.0045346,4,1076
528,1539366864.0,52.1987228,21.0045412,4,1074
529,1539366688.0,52.1987228,21.0045412,4,1071
530,1539366628.0,52.1987228,21.0045412,4,1070
531,1539366532.0,52.1987127,21.0045443,4,1068
532,1539366466.0,52.1987127,21.0045443,4,1067
533,1539366394.0,52.1987127,21.0045443,4,1066
534,1539366292.0,52.1987127,21.0045443,4,1064
535,1539366231.0,52.1987236,21.0045309,4,1063
536,1539366149.0,52.1987236,21.0045309,4,1062
537,1539366045.0,52.1987236,21.0045309,4,1060
538,1539365985.0,52.1987236,21.0045309,4,1059
539,1539365906.0,52.1987218,21.0045349,4,1058
540,1539365814.0,52.1987218,21.0045349,4,1056
541,1539365606.0,52.1987215,21.0045349,4,1053
542,1539365546.0,52.1987215,21.0045349,4,1052
543,1539365474.0,52.1987215,21.0045349,4,1051
544,1539365474.0,52.1987215,21.0045349,4,1051
545,1539365370.0,52.1987215,21.0045349,4,1049
546,1539365294.0,52.1987239,21.0045329,4,1048
547,1539365234.0,52.1987239,21.0045329,4,1047
548,1539365079.0,52.1987239,21.0045329,4,1044
549,1539364974.0,52.1987239,21.0045329,4,1042
550,1539364914.0,52.1987214,21.0045348,4,1041
551,1539364852.0,52.1992327,21.0046815,4,1040
552,1539364791.0,52.1992327,21.0046815,4,1039
553,1539364718.0,52.1991059,21.0035922,4,1038
554,1539364657.0,52.1991059,21.0035922,4,1037
555,1539364597.0,52.199113,21.0035916,4,1036
556,1539364536.0,52.1991805,21.0038472,4,1035
557,1539364475.0,52.1994675,21.0051494,4,1034
558,1539364415.0,52.1997423,21.0067848,4,1033
559,1539364294.0,52.2003142,21.0089134,4,1031
560,1539364222.0,52.2006011,21.0107249,4,1030
561,1539364173.0,52.2000006,21.0113756,4,1029
562,1539364113.0,52.1999033,21.0112607,4,1028
563,1539364051.0,52.1999143,21.0112635,4,1027
564,1539363991.0,52.2050008,21.0099628,4,1026
565,1539363746.0,52.2300071,21.0118015,4,1022
566,1539363628.0,52.2314306,21.0098136,4,1020
567,1539363548.0,52.2314306,21.0098136,4,1019
568,1539363488.0,52.2314306,21.0098136,4,1018
569,1539363400.0,52.2312875,21.0099749,4,1016
570,1539363368.0,52.2310893,21.0101546,4,1016
571,1539363308.0,52.2300706,21.0136988,4,1015
572,1539363246.0,52.229586,21.0114637,4,1014
573,1539363186.0,52.2293596,21.0110258,4,1013
574,1539363125.0,52.2300706,21.0136988,4,1012
575,1539363058.0,52.229189,21.009295,4,1010
576,1539363004.0,52.2292068,21.0092358,4,1010
577,1539362972.0,52.2291831,21.0092997,4,1009
578,1539362942.0,52.2291831,21.0092997,4,1009
579,1539362912.0,52.2291831,21.0092997,4,1008
580,1539362826.0,52.2291831,21.0092997,4,1007
581,1539362762.0,52.2291831,21.0092997,4,1006
582,1539362670.0,52.2292068,21.0092358,4,1004
583,1539362581.0,52.2292068,21.0092358,4,1003
584,1539362460.0,52.2292068,21.0092358,4,1001
585,1539362399.0,52.2292068,21.0092358,4,999
586,1539362332.0,52.2291789,21.0092792,4,998
587,1539362252.0,52.2291789,21.0092792,4,997
588,1539362191.0,52.2291602,21.0093193,4,996
589,1539362070.0,52.2295549,21.0092793,4,994
590,1539362037.0,52.2294102,21.0093495,4,993
591,1539361962.0,52.2247654,21.0101475,4,992
592,1539361901.0,52.2247654,21.0101475,4,991
593,1539361827.0,52.2247654,21.0101475,4,990
594,1539361773.0,52.2247654,21.0101475,4,989
595,1539361750.0,52.229171,21.0098428,4,989
596,1539361750.0,52.229171,21.0098428,4,989
597,1539356951.0,52.229171,21.0098428,4,909
598,1539356947.0,52.229171,21.0098428,4,909
599,1539356937.0,52.2264169,21.0100337,4,908
600,1539356844.0,52.2264169,21.0100337,4,907
601,1539356650.0,52.2264169,21.0100337,4,904
602,1539356646.0,52.2247654,21.0101475,4,904
603,1539356646.0,52.2247654,21.0101475,4,904
604,1539353797.0,52.2247654,21.0101475,4,856
605,1539353736.0,52.2247654,21.0101475,4,855
606,1539353475.0,52.2247654,21.0101475,4,851
607,1539353472.0,52.2247654,21.0101475,4,851
608,1539353471.0,52.2247654,21.0101475,4,851
609,1539353445.0,52.2267315,21.0100088,4,850
610,1539353243.0,52.2267315,21.0100088,4,847
611,1539353171.0,52.2267315,21.0100088,4,846
612,1539353155.0,52.226691,21.0100128,4,845
613,1539352875.0,52.226691,21.0100128,4,841
614,1539352871.0,52.226691,21.0100128,4,841
615,1539352865.0,52.2291796,21.0098442,4,841
616,1539352574.0,52.2291796,21.0098442,4,836
617,1539352571.0,52.2291796,21.0098442,4,836
618,1539352471.0,52.2247654,21.0101475,4,834
619,1539352343.0,52.2247654,21.0101475,4,832
620,1539352272.0,52.2247654,21.0101475,4,831
621,1539352268.0,52.2247654,21.0101475,4,831
622,1539352207.0,52.2264904,21.0099561,4,830
623,1539352111.0,52.2264904,21.0099561,4,828
624,1539351945.0,52.2263408,21.0100385,4,825
625,1539351750.0,52.2263408,21.0100385,4,822
626,1539351652.0,52.2263408,21.0100385,4,820
627,1539351648.0,52.2263408,21.0100385,4,820
628,1539351645.0,52.2247654,21.0101475,4,820
629,1539351584.0,52.2247654,21.0101475,4,819
630,1539351481.0,52.2247654,21.0101475,4,818
631,1539351414.0,52.2247654,21.0101475,4,816
632,1539351335.0,52.2247654,21.0101475,4,815
633,1539351332.0,52.2247654,21.0101475,4,815
634,1539351098.0,52.2291789,21.0098559,4,811
635,1539351035.0,52.2291789,21.0098559,4,810
636,1539351031.0,52.2291789,21.0098559,4,810
637,1539350834.0,52.2247654,21.0101475,4,807
638,1539350734.0,52.2247654,21.0101475,4,805
639,1539350731.0,52.2247654,21.0101475,4,805
640,1539350603.0,52.2291709,21.0098524,4,803
641,1539350543.0,52.2291709,21.0098524,4,802
642,1539350434.0,52.2291709,21.0098524,4,800
643,1539350430.0,52.2291709,21.0098524,4,800
644,1539350254.0,52.2247729,21.0101347,4,797
645,1539350182.0,52.2247729,21.0101347,4,796
646,1539350096.0,52.2247729,21.0101347,4,794
647,1539350092.0,52.2247729,21.0101347,4,794
648,1539350031.0,52.2291709,21.0098524,4,793
649,1539349963.0,52.2291709,21.0098524,4,792
650,1539349827.0,52.2291709,21.0098524,4,790
651,1539349770.0,52.2291709,21.0098524,4,789
652,1539349767.0,52.2291709,21.0098524,4,789
653,1539349643.0,52.2247654,21.0101475,4,787
654,1539349468.0,52.2247654,21.0101475,4,784
655,1539349464.0,52.2247654,21.0101475,4,784
656,1539349383.0,52.2293489,21.009584,4,783
657,1539349310.0,52.2293489,21.009584,4,781
658,1539349227.0,52.2293489,21.009584,4,780
659,1539349135.0,52.2293489,21.009584,4,778
660,1539349132.0,52.2293489,21.009584,4,778
661,1539349131.0,52.2293489,21.009584,4,778
662,1539349110.0,52.2269134,21.0098043,4,778
663,1539349041.0,52.2269134,21.0098043,4,777
664,1539348980.0,52.2269134,21.0098043,4,776
665,1539348861.0,52.2269134,21.0098043,4,774
666,1539348831.0,52.2269134,21.0098043,4,773
667,1539348831.0,52.2269134,21.0098043,4,773
668,1539348803.0,52.2291709,21.0098524,4,773
669,1539348743.0,52.2291709,21.0098524,4,772
670,1539348631.0,52.2291709,21.0098524,4,770
671,1539348631.0,52.2291709,21.0098524,4,770
672,1539348528.0,52.2291709,21.0098524,4,768
673,1539348468.0,52.2291709,21.0098524,4,767
674,1539348438.0,52.2296074,21.0091219,4,767
675,1539348433.0,52.2296074,21.0091219,4,767
676,1539348373.0,52.2296074,21.0091219,4,766
677,1539348312.0,52.2296074,21.0091219,4,765
678,1539348298.0,52.2296074,21.0091219,4,764
679,1539348176.0,52.2247729,21.0101347,4,762
680,1539348086.0,52.2247729,21.0101347,4,761
681,1539348001.0,52.2247729,21.0101347,4,760
682,1539347997.0,52.2247729,21.0101347,4,759
683,1539347905.0,52.2270086,21.0097705,4,758
684,1539347816.0,52.2270086,21.0097705,4,756
685,1539347674.0,52.2270086,21.0097705,4,754
686,1539347670.0,52.2270086,21.0097705,4,754
687,1539347670.0,52.2270086,21.0097705,4,754
688,1539347643.0,52.2247654,21.0101475,4,754
689,1539347545.0,52.2247654,21.0101475,4,752
690,1539347424.0,52.2247654,21.0101475,4,750
691,1539347368.0,52.2247654,21.0101475,4,749
692,1539347364.0,52.2247654,21.0101475,4,749
693,1539347353.0,52.2292244,21.0097849,4,749
694,1539347272.0,52.2292244,21.0097849,4,747
695,1539347128.0,52.2292244,21.0097849,4,745
